Topic,Total_Count,Pct_of_Total,Negative_Count,Pct_Neg,Positive_Count,Pct_Pos
New Account,448,0.462,258,0.266,119,0.123
Activation & Porting,161,0.166,105,0.108,40,0.041
Add a Line,116,0.12,64,0.066,43,0.044
Upgrade,277,0.286,156,0.161,96,0.099
Want a New Device,46,0.047,18,0.019,19,0.02
Trade-In,223,0.23,122,0.126,54,0.056
Fulfillment - Order,151,0.156,109,0.112,28,0.029
Fulfillment - Delivery,404,0.416,235,0.242,114,0.118
Returns,1039,1.071,613,0.632,252,0.26
Exchange & Replace,504,0.52,349,0.36,125,0.129
Warranty & Device Protection,87,0.09,51,0.053,14,0.014
"Price, Promo & Credits",526,0.542,310,0.32,191,0.197
Unauthorized Account Changes,110,0.113,73,0.075,32,0.033
Competitor & Churn Intent,2026,2.089,1455,1.5,525,0.541
